FLOOR,FLOOR_TYPE,FANS,LIGHTS,WIFI,PROJECTOR,SCREENS,Fan_Power_W,Fan_Cost_Peak_7hr_₹,Fan_Cost_Day_₹,Fan_Monthly_Bill_₹,Light_Power_W,Light_Cost_Peak_7hr_₹,Light_Cost_Day_₹,Light_Monthly_Bill_₹,WIFI_PROJ_Power_W,WIFI_PROJ_Cost_Peak_7hr_₹,WIFI_PROJ_Cost_Day_₹,WIFI_PROJ_Monthly_Bill_₹,Screen_Power_W,Screen_Cost_Peak_7hr_₹,Screen_Cost_Day_₹,Screen_Monthly_Bill_₹,NEW_COST_daily_TOD_₹,NEW_COST_per_month_TOD_₹
F-16,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-17,Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F-17,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-18,Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F-18 LEFT,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-19,Ground,7,10,1,1,0,525,40.06,44.73,1162.98,200,15.26,17.04,443.04,210,16.02,17.89,465.19,0,0,0,0,79.66,2071.21
F-18 RIGHT,Upper/First,7,10,1,1,0,525,40.06,44.73,1162.98,200,15.26,17.04,443.04,210,16.02,17.89,465.19,0,0,0,0,79.66,2071.21
F-19,Upper/First,6,4,1,0,1,450,34.34,38.34,996.84,80,6.1,6.82,177.22,210,16.02,17.89,465.19,250,19.08,21.3,553.8,84.35,2193.05
FLOORS,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOORS,Upper/First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-01,Second/Other,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
T-01,Other,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
S-02,Second/Other,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
T-02,Other,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
S-03,Second/Other,6,2,1,1,0,450,34.34,38.34,996.84,40,3.05,3.41,88.61,210,16.02,17.89,465.19,0,0,0,0,59.64,1550.64
T-03,Other,7,0,1,1,1,525,40.06,44.73,1162.98,0,0,0,0,210,16.02,17.89,465.19,250,19.08,21.3,553.8,83.92,2181.97
S-04,Second/Other,16,6,1,1,0,1200,91.56,102.24,2658.24,120,9.16,10.22,265.82,210,16.02,17.89,465.19,0,0,0,0,130.36,3389.26
T-04,Other,0,0,1,1,1,0,0,0,0,0,0,0,0,210,16.02,17.89,465.19,250,19.08,21.3,553.8,39.19,1018.99
S-05,Second/Other,6,3,1,1,0,450,34.34,38.34,996.84,60,4.58,5.11,132.91,210,16.02,17.89,465.19,0,0,0,0,61.34,1594.94
T-05,Other,8,4,1,1,0,600,45.78,51.12,1329.12,80,6.1,6.82,177.22,210,16.02,17.89,465.19,0,0,0,0,75.83,1971.53
